groupid	groupname	higher_groupid	used_in_sum	percent_values
ACRI	Acritarchs	NOPO	False	False
ALGA	Algae	AQUA	False	True
AQBR	Aquatic Bryophytes	AQUA	False	True
AQPT	Aquatic Pteridophyta	AQUA	False	True
AQUA	Aquatics	AQUA	False	True
AQVP	Aquatic Vascular Plants	AQUA	False	True
BRYO	Bryophytes	VACR	True	True
CHAR	Charcoal	CHAR	False	False
CHLO	Chlorophytes	NOPO	False	False
CYAN	Cyanobacteria	NOPO	False	False
DINO	Dinoflagellates	NOPO	False	False
DWAR	Dwarf shrubs	TRSH	True	True
FUNG	Fungi	NOPO	False	False
HELO	Helophytes	AQUA	False	True
HEMI	Hemi-parasitic	NOPO	False	False
HERB	Herbs	HERB	True	True
INUN	Indeterminables and unknowns	INUN	False	False
INVE	Invertebrates	NOPO	False	False
LIAN	Liana	LIAN	True	True
MACR	Macrofossils	NOPO	False	False
MICR	Microcrustaceans	NOPO	False	False
NEMA	Nematoda (roundworms)	NOPO	False	False
NOPO	Nonpollen	NOPO	False	False
PLAT	Platyhelminthes (flatworms)	NOPO	False	False
PREQ	Pre-Quaternary type	NOPO	False	False
RHIZ	Rhizopods	NOPO	False	False
ROTI	Rotifera (Rotifers)	NOPO	False	False
SPOR	Taxonomically undifferentiated spores	INUN	False	False
TEAM	Testate amoebae	NOPO	False	False
TRSH	Trees & Shrubs	TRSH	True	True
UNPP	Undifferentiated NPP	INUN	False	False
UPBR	Upland Bryophytes	VACR	True	True
UPHE	Upland herbs	HERB	True	True
VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True
VEMI	Vegetative microfossils	NOPO	False	False
MOSS	Moss	VACR	True	True
