samplename	original_varname	var_	count	percentage	acc_var_	acc_varname	groupid
EMBSECBIO_a3	Artemisia	7	3	1.46	7	Artemisia	HERB
EMBSECBIO_a3	Caryophyllaceae	18	1	0.49	18	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
EMBSECBIO_a3	Fabaceae	41	1	0.49	41	Fabaceae	HERB
EMBSECBIO_a3	Rubus	141	5	2.44	141	Rubus	TRSH
EMBSECBIO_a3	Amaranthaceae	707	53	25.85	24	Chenopodiaceae/Amaranthaceae	HERB
EMBSECBIO_a3	Viola	748	5	2.44	430	Viola	HERB
EMBSECBIO_a3	Asteroideae	761	44	21.46	160	Asteraceae subf. Asteroideae	HERB
EMBSECBIO_a3	Oleaceae	781	24	11.71	781	Oleaceae	TRSH
EMBSECBIO_a3	Asteraceae (Liguliflorae)	1032	17	8.29	25	Asteraceae subf. Cichorioideae	HERB
EMBSECBIO_a3	Peucedanum-type	1267	1	0.49	73	Peucedanum-type	HERB
EMBSECBIO_a3	Astragalus-type	1438	13	6.34	10	Astragalus-type	HERB
EMBSECBIO_a3	Ephedra distachya	2199	6	2.93	37	Ephedra distachya-type	TRSH
EMBSECBIO_a3	Ribes	2200	3	1.46	2200	Ribes	TRSH
EMBSECBIO_a3	Plantago coronopus-type	2801	4	1.95	30	Plantago coronopus-type	HERB
EMBSECBIO_a3	Parnassia	3005	5	2.44	1306	Parnassia palustris	HERB
EMBSECBIO_a3	Limonium	3276	2	0.98	3276	Limonium	HERB
EMBSECBIO_a3	Quercus coccifera	4427	2	0.98	85	Quercus ilex-type	TRSH
EMBSECBIO_a3	Rubus-type	4502	1	0.49	141	Rubus	TRSH
EMBSECBIO_a3	Turgenia-type	4698	4	1.95	6	Apiaceae	HERB
EMBSECBIO_a3	Vaccinium	4725	1	0.49	4725	Vaccinium	DWAR
EMBSECBIO_a3	Verbena	4738	2	0.98	4738	Verbena officinalis	HERB
EMBSECBIO_a3	Pinus (Haploxylon)	5171	8	3.9	124	Pinus cembra-type	TRSH
