	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	notes
0	Montanari_a8	2638	170	148	PINUS sylv.	Pinus sylvestris-type	TRSH	GroupID taken from POLNET. Only one taxon matched that acc_varname.
1	Montanari_a8	2639	14	147	PINUS CEMBRA	Pinus cembra-type	TRSH	GroupID taken from POLNET. Only one taxon matched that acc_varname.
2	Montanari_a8	2640	31	19	PINUS indiff..	Pinus	TRSH	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
3	Montanari_a8	2641	41	16	LARIX	Larix/Pseudotsuga	TRSH	GroupID taken from POLNET. Only one taxon matched that acc_varname.
4	Montanari_a8	399	58	18	PICEA	Picea	TRSH	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
5	Montanari_a8	355	3	47	CASTANEA	Castanea sativa	TRSH	GroupID taken from POLNET. Only one taxon matched that acc_varname.
6	Montanari_a8	362	34	9	CORYLUS	Corylus	TRSH	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
7	Montanari_a8	346	23	5	BETULA	Betula	TRSH	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
8	Montanari_a8	2644	53	175	ALNUS  incana	Alnus glutinosa-type	TRSH	GroupID taken from POLNET. Only one taxon matched that acc_varname.
9	Montanari_a8	2645	16	151	ALNUS viridis	Alnus viridis	TRSH	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
10	Montanari_a8	2647	3	21	QUERCUS decid.	Quercus robur-type	TRSH	GroupID taken from POLNET. Only one taxon matched that acc_varname.
11	Montanari_a8	375	24	13	FRAXINUS	Fraxinus	TRSH	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
12	Montanari_a8	383	2	15	JUGLANS	Juglans	TRSH	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
13	Montanari_a8	373	2	12	FAGUS	Fagus	TRSH	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
14	Montanari_a8	2653	59	132	SORBUS	Sorbus-type	TRSH	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
15	Montanari_a8	338	13	2	ACER	Acer campestre-type	TRSH	GroupID taken from POLNET. Only one taxon matched that acc_varname.
16	Montanari_a8	422	6	25	SALIX	Salix	TRSH	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
