samplename	original_varname	var_	count	percentage	acc_var_	acc_varname	groupid
EPDcoretop_E2601	Alnus	5	27	4	5	Alnus	TRSH
EPDcoretop_E2601	Apiaceae	6	1	0.15	6	Apiaceae	HERB
EPDcoretop_E2601	Artemisia	7	6	0.89	7	Artemisia	HERB
EPDcoretop_E2601	Brassicaceae	13	9	1.33	13	Brassicaceae	HERB
EPDcoretop_E2601	Caryophyllaceae	18	1	0.15	18	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
EPDcoretop_E2601	Chenopodiaceae	24	5	0.74	24	Chenopodiaceae/Amaranthaceae	HERB
EPDcoretop_E2601	Cyperaceae	33	210	31.11	33	Cyperaceae	HERB
EPDcoretop_E2601	Fraxinus excelsior	47	2	0.3	47	Fraxinus excelsior-type	TRSH
EPDcoretop_E2601	Juglans	57	3	0.44	57	Juglans	TRSH
EPDcoretop_E2601	Phillyrea	74	2	0.3	74	Phillyrea	TRSH
EPDcoretop_E2601	Pinus	75	4	0.59	75	Pinus	TRSH
EPDcoretop_E2601	Pistacia	77	3	0.44	77	Pistacia	TRSH
EPDcoretop_E2601	Poaceae	80	42	6.22	80	Poaceae	HERB
EPDcoretop_E2601	Thalictrum	112	1	0.15	112	Thalictrum	HERB
EPDcoretop_E2601	Quercus robur-type	152	27	4	86	Quercus robur-type	TRSH
EPDcoretop_E2601	Ulmus	154	1	0.15	154	Ulmus/Zelkova	TRSH
EPDcoretop_E2601	Fagus	192	78	11.56	42	Fagus	TRSH
EPDcoretop_E2601	Corylus	201	1	0.15	31	Corylus	TRSH
EPDcoretop_E2601	Castanea	441	12	1.78	19	Castanea sativa	TRSH
EPDcoretop_E2601	Olea	442	17	2.52	68	Olea europaea	TRSH
EPDcoretop_E2601	Abies	560	3	0.44	321	Abies	TRSH
EPDcoretop_E2601	Ostrya	571	2	0.3	70	Ostrya/Carpinus orientalis	TRSH
EPDcoretop_E2601	Quercus ilex	579	2	0.3	85	Quercus ilex-type	TRSH
EPDcoretop_E2601	Echium	604	1	0.15	242	Echium	HERB
EPDcoretop_E2601	Lysimachia	614	2	0.3	587	Anagallis-type	HERB
EPDcoretop_E2601	Plantago	724	4	0.59	270	Plantago	HERB
EPDcoretop_E2601	Rumex	727	6	0.89	94	Rumex/Oxyria	HERB
EPDcoretop_E2601	Centaurea	757	4	0.59	267	Centaurea	HERB
EPDcoretop_E2601	Cerealia-type	1065	1	0.15	22	Cerealia-type	HERB
EPDcoretop_E2601	Solanum dulcamara	1194	1	0.15	1194	Solanum dulcamara	HERB
EPDcoretop_E2601	Erica arborea	2026	2	0.3	455	Erica arborea-type	TRSH
EPDcoretop_E2601	Compositae subf. Asteroideae	3822	6	0.89	160	Asteraceae subf. Asteroideae	HERB
EPDcoretop_E2601	Compositae subf. Cichorioideae	3824	7	1.04	25	Asteraceae subf. Cichorioideae	HERB
EPDcoretop_E2601	Monolete spore(s)	4197	9	1.33	146	Monolete fern spores	VACR
EPDcoretop_E2601	Sparganium/Typha angustifolia	4614	10	1.48	176	Sparganium-type	AQUA
EPDcoretop_E2601	Osmunda-type	5167	173	25.63	1556	Osmunda-type	VACR
