samplename	original_varname	acc_varname	groupid	count	percentage	notes
Hallsdottir_a2	BETULA	Betula	TRSH	46	11.358025	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Hallsdottir_a2	BETULA NANA	Betula nana-type	DWAR	26	6.4197531	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Hallsdottir_a2	CALLUNA VULGARIS	Calluna vulgaris	TRSH	2	0.49382716	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Hallsdottir_a2	EMPETRUM NIGRUM	Empetrum nigrum	DWAR	24	5.9259259	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Hallsdottir_a2	ERICALES	Ericales (tetrad)	DWAR	45	11.111111	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Hallsdottir_a2	PINUS	Pinus	TRSH	1	0.24691358	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Hallsdottir_a2	SALIX	Salix	TRSH	24	5.9259259	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Hallsdottir_a2	COMP. LIGULIFLORAE	Asteraceae subf. Cichorioideae	HERB	16	3.9506173	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Hallsdottir_a2	CARDAMINE TYPE	Brassicaceae	HERB	3	0.74074074	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Hallsdottir_a2	PARNASSIA PALUSTRIS	Parnassia palustris	HERB	1	0.24691358	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Hallsdottir_a2	PLANTAGO MARITIMA	Plantago maritima-type	HERB	1	0.24691358	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Hallsdottir_a2	POACEAE	Poaceae	HERB	170	41.975309	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Hallsdottir_a2	RANUNCULUS	Ranunculus-type	HERB	4	0.98765432	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Hallsdottir_a2	GALIUM	Rubiaceae	HERB	9	2.2222222	Inconsistent at the groupID and higher_groupID levels between EPD and NEOTOMA. Going for EPD groupID.
Hallsdottir_a2	RUMEX TYPE	Rumex/Oxyria	HERB	4	0.98765432	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Hallsdottir_a2	SILENE type	Silene-type	HERB	4	0.98765432	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Hallsdottir_a2	THALICTRUM ALPINUM	Thalictrum alpinum-type	HERB	4	0.98765432	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Hallsdottir_a2	BOTRYCHIUM	Botrychium	VACR	2	0.49382716	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Hallsdottir_a2	EQUISETUM	Equisetum	VACR	3	0.74074074	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Hallsdottir_a2	GYMNOCARPIUM DRYOPTERIS	Gymnocarpium dryopteris	VACR	8	1.9753086	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Hallsdottir_a2	FILICALES	Monolete fern spores	VACR	7	1.7283951	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Hallsdottir_a2	SELAGINELLA	Selaginella	VACR	1	0.24691358	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Hallsdottir_a2	CAREX type	Carex	HELO	61	15.061728	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Hallsdottir_a2	LycSpores counted	Lycopodium (counted)	NOPO	908		GroupID taken from spreadsheet
Hallsdottir_a2	Number of LycSpores pr tablet	Lycopodium (spores/tablet)	NOPO	12542		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Hallsdottir_a2	Number of LycTab	Lycopodium tablets (number)	NOPO	2		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Hallsdottir_a2	surface area	Sample surface (cm²)	NOPO	19.6		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Hallsdottir_a2	SPHAGNUM	Sphagnum	NOPO	1		GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
