	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	notes
0	Lopez_b2	1011	46	21	deciduous Quercus	Quercus robur-type	TRSH	GroupID taken from POLNET. Only one taxon matched that acc_varname.
1	Lopez_b2	1012	156	22	evergreen Quercus	Quercus ilex-type	TRSH	GroupID taken from POLNET. Only one taxon matched that acc_varname.
2	Lopez_b2	1013	50	148	Pinus sylvestris/nigra type	Pinus sylvestris-type	TRSH	GroupID taken from POLNET. Only one taxon matched that acc_varname.
3	Lopez_b2	1014	18	453	Pinus halepensis type	Pinus halepensis-type	TRSH	GroupID taken from POLNET. Only one taxon matched that acc_varname.
4	Lopez_b2	32	4	32	Viburnum	Viburnum	TRSH	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
5	Lopez_b2	1015	4	66	Erica type	Erica	DWAR	GroupID taken from POLNET. Only one taxon matched that acc_varname.
6	Lopez_b2	2	8	2	Acer	Acer campestre-type	TRSH	GroupID taken from POLNET. Only one taxon matched that acc_varname.
7	Lopez_b2	452	18	452	Pinus pinaster	Pinus pinaster	TRSH	GroupID taken from POLNET. Only one taxon matched that acc_varname.
8	Lopez_b2	1016	3	97	Ostrya/Carpinus orientalis type	Ostrya/Carpinus orientalis	TRSH	GroupID taken from POLNET. Only one taxon matched that acc_varname.
9	Lopez_b2	454	4	47	Castanea	Castanea sativa	TRSH	GroupID taken from POLNET. Only one taxon matched that acc_varname.
10	Lopez_b2	13	6	13	Fraxinus	Fraxinus	TRSH	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
11	Lopez_b2	1017	3	55	Cistus type	Cistus	TRSH	GroupID taken from POLNET. Only one taxon matched that acc_varname.
12	Lopez_b2	1018	20	103	Pistacia terebinthus type	Pistacia	TRSH	GroupID taken from POLNET. Only one taxon matched that acc_varname.
13	Lopez_b2	1019	4	95	Olea europea	Olea europaea	TRSH	GroupID taken from POLNET. Only one taxon matched that acc_varname.
14	Lopez_b2	101	4	101	Phillyrea	Phillyrea	TRSH	GroupID taken from POLNET. Only one taxon matched that acc_varname.
15	Lopez_b2	1020	2	167	Filicales monolete	Monolete fern spores	VACR	GroupID taken from POLNET. Only one taxon matched that acc_varname.
16	Lopez_b2	219	22	28	Juniperus type	Juniperus-type	TRSH	GroupID taken from POLNET. Only one taxon matched that acc_varname.
17	Lopez_b2	106	4	106	Poaceae	Poaceae	HERB	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
18	Lopez_b2	61	3	61	Cyperaceae	Cyperaceae	HERB	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
19	Lopez_b2	759	1	445	Viola	Viola	HERB	GroupID taken from POLNET. Only one taxon matched that acc_varname.
20	Lopez_b2	41	4	41	Aster type	Aster-type	HERB	GroupID taken from POLNET. Only one taxon matched that acc_varname.
21	Lopez_b2	460	8	53	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
22	Lopez_b2	37	2	37	Artemisia	Artemisia	HERB	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
23	Lopez_b2	496	8	285	Fabaceae undiff.	Fabaceae undiff.	HERB	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
24	Lopez_b2	193	22	193	Scrophulariaceae	Scrophulariaceae (colporate-reticulate)	HERB	GroupID taken from POLNET. Only one taxon matched that acc_varname.
25	Lopez_b2	237	2	87	Plantago lanceolata type	Plantago lanceolata-type	HERB	GroupID taken from POLNET. Only one taxon matched that acc_varname.
26	Lopez_b2	82	2	82	Hypericum	Hypericum	HERB	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
27	Lopez_b2	1021	2	295	Filicales trilete	Trilete spore(s)	VACR	GroupID taken from POLNET. Only one taxon matched that acc_varname.
28	Lopez_b2	46	3	46	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	GroupID taken from POLNET. Only one taxon matched that acc_varname.
29	Lopez_b2	851	4	466	Urtica dioica type	Urtica dioica-type	HERB	GroupID taken from POLNET. Only one taxon matched that acc_varname.
30	Lopez_b2	810	4	810	Primulaceae	Primulaceae	HERB	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
31	Lopez_b2	1022	10	118	Prunus/Rosa/Rubus type	Rosaceae	TRSH	Inconsistent at the groupID and higher_groupID levels between EPD and NEOTOMA. Going for EPD groupID.
32	Lopez_b2	1023	1	1023	Cytisus type	Cytisus-type	TRSH	GroupID taken from POLNET. Only one taxon matched that acc_varname.
33	Lopez_b2	119	3	119	Rubiaceae	Rubiaceae	HERB	Inconsistent at the groupID and higher_groupID levels between EPD and NEOTOMA. Going for EPD groupID.
34	Lopez_b2	86	3	86	Lamiaceae	Lamiaceae	HERB	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
35	Lopez_b2	184	4	184	Dipsacaceae	Dipsacaceae	HERB	GroupID taken from POLNET. Only one taxon matched that acc_varname.
36	Lopez_b2	1024	62	115	Paliurus/Rhamnus	Rhamnus-type	TRSH	GroupID taken from POLNET. Only one taxon matched that acc_varname.
37	Lopez_b2	1029	10	1029	Ascodemis type UG 1285	Ascodemis-type	FUNG	GroupID taken from spreadsheet
38	Lopez_b2	1032	8	1032	Coniochaeta lignaria	Coniochaeta lignaria	FUNG	GroupID taken from spreadsheet
39	Lopez_b2	1033	2	507	Riccia type 165	Riccia	NOPO	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
40	Lopez_b2	1035	4	570	Podospora (HdV-368)	Podospora-type	FUNG	GroupID taken from POLNET. Only one taxon matched that acc_varname.
41	Lopez_b2	1036	54	567	Sordaria (HdV-55A)	Sordaria-type	FUNG	GroupID taken from POLNET. Only one taxon matched that acc_varname.
42	Lopez_b2	1037	30	569	Sporormiella (HdV-113)	Sporormiella-type	FUNG	GroupID taken from POLNET. Only one taxon matched that acc_varname.
43	Lopez_b2	1038	4	1038	Marron 3 branches zopfiella?	cf. Zopfiella	INUN	GroupID taken from spreadsheet
44	Lopez_b2	485	1	118	Rosaceae undiff.	Rosaceae	TRSH	Inconsistent at the groupID and higher_groupID levels between EPD and NEOTOMA. Going for EPD groupID.
45	Lopez_b2	528	2	528	Lonicera	Lonicera	TRSH	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
46	Lopez_b2	547	3	547	Tamus	Tamus communis	HERB	GroupID taken from POLNET. Only one taxon matched that acc_varname.
