samplename	original_varname	acc_varname	groupid	count	percentage	notes
Fletcher_a9	Ericaceae undiff.	Ericales (tetrad)	DWAR	1	0.11191942	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Fletcher_a9	Eucalyptus	Eucalyptus	TRSH	17	1.9026301	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Fletcher_a9	Fraxinus	Fraxinus	TRSH	1	0.11191942	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Fletcher_a9	Olea	Olea europaea	TRSH	9	1.0072748	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Fletcher_a9	Pinus	Pinus	TRSH	12.5	1.3989927	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Fletcher_a9	Quercus undiff.	Quercus	TRSH	7	0.78343593	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Fletcher_a9	Quercus suber	Quercus cerris-type	TRSH	3	0.33575825	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Fletcher_a9	Quercus coccifera type	Quercus ilex-type	TRSH	1	0.11191942	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Fletcher_a9	Tamarix	Tamarix	TRSH	2	0.22383884	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Fletcher_a9	Artemisia type	Artemisia	HERB	1	0.11191942	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Fletcher_a9	Asteraceae (Asteroid./Card.)	Asteraceae subf. Asteroideae	HERB	11	1.2311136	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Fletcher_a9	Asteraceae (Lactuc.)	Asteraceae subf. Cichorioideae	HERB	169	18.914382	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Fletcher_a9	Caryophyllaceae undiff.	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	1	0.11191942	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Fletcher_a9	Poaceae Pore>8	Cerealia-type	HERB	1	0.11191942	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Fletcher_a9	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	551	61.667599	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Fletcher_a9	Cistaceae undiff.	Cistaceae	HERB	2	0.22383884	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Fletcher_a9	Cyperaceae	Cyperaceae	HERB	2	0.22383884	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Fletcher_a9	Fabaceae undiff.	Fabaceae undiff.	HERB	1	0.11191942	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Fletcher_a9	Hypecoum	Hypecoum	HERB	1	0.11191942	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Fletcher_a9	Plantago undiff.	Plantago	HERB	21	2.3503078	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Fletcher_a9	Plantago coronopus type	Plantago coronopus-type	HERB	32	3.5814214	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Fletcher_a9	Plantago lanceolata type	Plantago lanceolata-type	HERB	2	0.22383884	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Fletcher_a9	Poaceae	Poaceae	HERB	42	4.7006156	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Fletcher_a9	Rumex undiff.	Rumex/Oxyria	HERB	1	0.11191942	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Fletcher_a9	Trifolium type	Trifolium-type	HERB	1	0.11191942	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Fletcher_a9	Isoetes undiff.	Isoetes	AQPT	6	0.67151651	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Fletcher_a9	Indeterminate	Indeterminable: unknown	INUN	2		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Fletcher_a9	Anogramma leptophylla	Anogramma leptophylla	VACR	1	0.11191942	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Fletcher_a9	Pre-Quaternary	Pre-Quaternary type	PREQ	1		GroupID taken from POLNET. Only one taxon matched that acc_varname.
