samplename	original_varname	acc_varname	groupid	count	percentage	notes
Furlanetto_a10	Alnus glutinosa/A. incana	Alnus glutinosa-type	TRSH	5	0.70028011	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Furlanetto_a10	Alnus viridis	Alnus viridis	TRSH	237	33.193277	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Furlanetto_a10	Calluna	Calluna vulgaris	TRSH	1	0.14005602	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Furlanetto_a10	Carpinus betulus	Carpinus betulus	TRSH	1	0.14005602	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Furlanetto_a10	Castanea	Castanea sativa	TRSH	2	0.28011204	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Furlanetto_a10	Corylus	Corylus	TRSH	1	0.14005602	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Furlanetto_a10	Ericaceae	Ericales (tetrad)	DWAR	2	0.28011204	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Furlanetto_a10	Fagus	Fagus	TRSH	2	0.28011204	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Furlanetto_a10	Juniperus	Juniperus communis-type	TRSH	1	0.14005602	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Furlanetto_a10	Pinus sylvestris/mugo type	Pinus sylvestris-type	TRSH	5	0.70028011	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Furlanetto_a10	Quercus robur type	Quercus robur-type	TRSH	5	0.70028011	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Furlanetto_a10	Salix	Salix	TRSH	2	0.28011204	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Furlanetto_a10	Ulmus	Ulmus/Zelkova	TRSH	1	0.14005602	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Furlanetto_a10	Viburnum	Viburnum	TRSH	3	0.42016807	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Furlanetto_a10	Apiaceae	Apiaceae	HERB	72	10.084034	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Furlanetto_a10	Aster-type	Aster-type	HERB	2	0.28011204	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Furlanetto_a10	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	4	0.56022409	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Furlanetto_a10	Astragalus type	Astragalus-type	HERB	3	0.42016807	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Furlanetto_a10	Brassicaceae	Brassicaceae	HERB	24	3.3613445	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Furlanetto_a10	Bupleurum	Bupleurum	HERB	6	0.84033613	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Furlanetto_a10	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	2	0.28011204	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Furlanetto_a10	Cirsium	Cirsium	HERB	1	0.14005602	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Furlanetto_a10	Cyperaceae	Cyperaceae	HERB	9	1.2605042	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Furlanetto_a10	Euphorbia	Euphorbia	HERB	1	0.14005602	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Furlanetto_a10	Gentiana	Gentiana	HERB	1	0.14005602	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Furlanetto_a10	Anthemis-type	Matricaria-type	HERB	4	0.56022409	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Furlanetto_a10	Pimpinella major type	Pimpinella major-type	HERB	8	1.1204482	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Furlanetto_a10	Plantago coronopus type	Plantago coronopus-type	HERB	1	0.14005602	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Furlanetto_a10	Poaceae_min 37	Poaceae	HERB	141	19.747899	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Furlanetto_a10	Poaceae_37-47	Poaceae	HERB	83	11.62465	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Furlanetto_a10	Poaceae mag 47 anulus min 11	Poaceae	HERB	4	0.56022409	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Furlanetto_a10	Potentilla-type	Potentilla-type	HERB	6	0.84033613	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Furlanetto_a10	Ranunculaceae	Ranunculaceae	HERB	2	0.28011204	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Furlanetto_a10	Ranunculus acris-type	Ranunculus acris-type	HERB	2	0.28011204	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Furlanetto_a10	Ranunculus	Ranunculus-type	HERB	2	0.28011204	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Furlanetto_a10	Rhinanthus-type	Rhinanthus-type	HERB	1	0.14005602	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Furlanetto_a10	Rumex acetosa-type	Rumex acetosa-type	HERB	3	0.42016807	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Furlanetto_a10	Rumex scutatus type	Rumex scutatus-type	HERB	4	0.56022409	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Furlanetto_a10	Sanguisorba dodecandra	Sanguisorba dodecandra	HERB	13	1.8207283	GroupID taken from spreadsheet
Furlanetto_a10	Scrophulariaceae	Scrophulariaceae (colporate-reticulate)	HERB	28	3.9215686	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Furlanetto_a10	Trifolium repens type	Trifolium repens-type	HERB	1	0.14005602	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Furlanetto_a10	Polypodiaceae (spore monolete undiff.)	Monolete fern spores	VACR	18	2.5210084	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Furlanetto_a10	Pollen concentration	Concentration pollen	NOPO	9173		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Furlanetto_a10	Lycopodium (added)	Lycopodium (added)	NOPO	55752		GroupID taken from spreadsheet
Furlanetto_a10	Lycopodium (counted)	Lycopodium (counted)	NOPO	47		GroupID taken from spreadsheet
Furlanetto_a10	Sample quantity (cm3)	Volume of sample (cm3)	NOPO	90		GroupID taken from POLNET. Only one taxon matched that acc_varname.
