samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Dambach_a142	560	77	321	Abies	Abies	TRSH
Dambach_a142	7	1	7	Artemisia	Artemisia	HERB
Dambach_a142	761	5	160	Asteroideae	Asteraceae subf. Asteroideae	HERB
Dambach_a142	12	33	12	Betula	Betula	TRSH
Dambach_a142	13	5	13	Brassicaceae	Brassicaceae	HERB
Dambach_a142	16	8	16	Carpinus	Carpinus betulus	TRSH
Dambach_a142	441	4	19	Castanea	Castanea sativa	TRSH
Dambach_a142	1065	6	22	Cerealia-type	Cerealia-type	HERB
Dambach_a142	24	1	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Dambach_a142	447	4	25	Cichorioideae	Asteraceae subf. Cichorioideae	HERB
Dambach_a142	201	21	31	Corylus	Corylus	TRSH
Dambach_a142	190	10	190	Fraxinus	Fraxinus	TRSH
Dambach_a142	1601	46	80	Gramineae	Poaceae	HERB
Dambach_a142	4078	7	177	Indeterminable: unknown	Indeterminable: unknown	INUN
Dambach_a142	75	224	75	Pinus	Pinus	TRSH
Dambach_a142	60	17	60	Plantago lanceolata	Plantago lanceolata-type	HERB
Dambach_a142	146	7	146	Polypodiaceae	Monolete fern spores	VACR
Dambach_a142	189	10	189	Quercus	Quercus	TRSH
Dambach_a142	135	3	135	Ranunculaceae	Ranunculaceae	HERB
Dambach_a142	92	1	92	Rosaceae	Rosaceae	TRSH
Dambach_a142	634	2	95	Rumex acetosa-type	Rumex acetosa-type	HERB
Dambach_a142	154	2	154	Ulmus	Ulmus/Zelkova	TRSH
Dambach_a142	1098	2	177	Varia	Indeterminable: unknown	INUN
Dambach_a142	5	27	5	Alnus	Alnus	TRSH
Dambach_a142	126	236	126	Picea	Picea	TRSH
Dambach_a142	192	31	42	Fagus	Fagus	TRSH
Dambach_a142	590	4	6	Umbelliferae	Apiaceae	HERB
Dambach_a142	2429	16	274	Ranunculus-type	Ranunculus-type	HERB
Dambach_a142	3868	8	3868	Cyperaceae	Cyperaceae	AQUA
Dambach_a142	4323	1	458	Plantago major/P. media	Plantago major/P. media-type	HERB
Dambach_a142	93	1	93	Rubiaceae	Rubiaceae	HERB
