samplename	publiid
Barboni_a624	23
Barboni_a625	23
Barboni_a626	23
Barboni_a627	23
Barboni_a628	23
Barboni_a629	23
Barboni_a630	23
Barboni_a631	23
Barboni_a632	23
Barboni_a633	23
Barboni_a634	23
Barboni_a635	23
Barboni_a636	23
Barboni_a637	23
Barboni_a638	23
Barboni_a639	23
Barboni_a640	23
Barboni_a641	23
Barboni_a642	23
Barboni_a643	23
Barboni_a644	23
Barboni_a645	23
Barboni_a646	23
Barboni_a647	23
Barboni_a648	23
Barboni_a649	23
Barboni_a650	23
Barboni_a651	23
Barboni_a652	23
Barboni_a653	23
Barboni_a654	23
Barboni_a655	23
Barboni_a656	23
Barboni_a657	23
Barboni_a658	23
Barboni_a659	23
Barboni_a660	23
Barboni_a661	23
Barboni_a662	23
Barboni_a663	23
Barboni_a664	23
Barboni_a665	23
Barboni_a666	23
Barboni_a667	23
Barboni_a668	23
Barboni_a669	23
Barboni_a670	23
Barboni_a671	23
Barboni_a672	23
Barboni_a673	23
Barboni_a674	23
Barboni_a675	23
Barboni_a676	23
Barboni_a677	23
Barboni_a678	23
Barboni_a679	23
Barboni_a680	23
Barboni_a681	23
Barboni_a682	23
Barboni_a683	23
Barboni_a684	23
Barboni_a685	23
Barboni_a686	23
Barboni_a687	23
Barboni_a688	23
Barboni_a689	23
Barboni_a690	23
Barboni_a691	23
Barboni_a692	23
Barboni_a693	23
Barboni_a694	23
Barboni_a695	23
Barboni_a696	23
Barboni_a697	23
Barboni_a698	23
Barboni_a699	23
Barboni_a700	23
Barboni_a701	23
Barboni_a702	23
Barboni_a703	23
Barboni_a704	23
Barboni_a705	23
Barboni_a706	10
Barboni_a754	24
Barboni_a760	13
Barboni_a761	13
Barboni_a762	25
Barboni_a763	26
Barboni_a769	19
Barboni_a770	27
Barboni_a771	27
Barboni_a772	27
Barboni_a773	27
Barboni_a774	27
Barboni_a775	27
Barboni_a776	27
Barboni_a777	27
Barboni_a778	27
Barboni_a779	27
Barboni_a780	27
Barboni_a781	27
Barboni_a782	27
Barboni_a783	27
Barboni_a784	27
Barboni_a785	27
Barboni_a786	27
Barboni_a787	27
Barboni_a788	28
Barboni_a811	13
Barboni_a812	13
Barboni_a813	13
Barboni_a814	13
Barboni_a816	13
Barboni_a817	13
Barboni_a818	13
Barboni_a924	13
Barboni_a925	13
Barboni_a928	29
Barboni_a93	8
Barboni_a931	30
Barboni_a933	31
Barboni_a934	13
Barboni_a935	13
Barboni_a936	13
Barboni_a937	13
Barboni_a938	13
Barboni_a939	13
Barboni_a94	8
Barboni_a940	13
Barboni_a941	13
Barboni_a942	13
Barboni_a943	32
Barboni_a944	33
Barboni_a945	34
Barboni_a947	13
Barboni_a95	8
Barboni_a96	8
Barboni_a97	8
Barboni_a98	8
Barboni_a99	8
Binney2017_E2172	35
Binney2017_E2174	35
Binney2017_E2175	35
Binney2017_E2183	35
Binney2017_E2184	35
Binney2017_E2186	35
Binney2017_E2187	35
Binney2017_E2188	35
Binney2017_E2189	35
Binney2017_E2190	35
Binney2017_E2196	35
Binney2017_E2199	35
Binney2017_E2200	35
Binney2017_E2206	35
Binney2017_E2207	35
Binney2017_E2208	35
Binney2017_E2214	35
Binney2017_E2218	35
Binney2017_E2220	35
Binney2017_E2221	35
Binney2017_E2223	35
Binney2017_E2224	35
Binney2017_E2225	35
Binney2017_E2230	35
Binney2017_E2232	35
Binney2017_E2233	35
Binney2017_E2234	35
Binney2017_E2237	35
Binney2017_E2239	35
Binney2017_E2241	35
Binney2017_E2242	35
Binney2017_E2243	35
Binney2017_E2244	35
Binney2017_E2246	35
Binney2017_E2247	35
Binney2017_E2248	35
Binney2017_E2251	35
Binney2017_E2252	35
Binney2017_E2254	35
Binney2017_E2255	35
Binney2017_E2333	35
Binney2017_E2334	35
Binney2017_E2335	35
Binney2017_E2336	35
Binney2017_E2397	35
Binney2017_E2399	35
Binney2017_E2400	35
Binney2017_E2512	35
Bjune_a1	36
Bjune_a10	36
Bjune_a100	36
Bjune_a101	36
Bjune_a102	36
Bjune_a103	36
Bjune_a104	36
Bjune_a105	36
Bjune_a106	36
Bjune_a107	36
Bjune_a108	36
Bjune_a109	36
Bjune_a11	36
Bjune_a110	36
Bjune_a111	36
Bjune_a112	36
Bjune_a113	36
Bjune_a114	36
Bjune_a115	36
Bjune_a116	36
Bjune_a117	36
Bjune_a118	36
Bjune_a119	36
Bjune_a12	36
Bjune_a120	36
Bjune_a121	36
Bjune_a122	36
Bjune_a123	36
Bjune_a124	36
Bjune_a125	36
Bjune_a126	36
Bjune_a127	36
Bjune_a128	36
Bjune_a129	36
Bjune_a13	36
Bjune_a130	36
Bjune_a131	36
Bjune_a132	36
Bjune_a133	36
Bjune_a134	36
Bjune_a135	36
Bjune_a136	36
Bjune_a137	36
Bjune_a138	36
Bjune_a139	36
Bjune_a14	36
Bjune_a140	36
Bjune_a141	36
Bjune_a142	36
Bjune_a143	36
Bjune_a144	36
Bjune_a145	36
Bjune_a146	36
Bjune_a147	36
Bjune_a148	36
Bjune_a149	36
Bjune_a15	36
Bjune_a150	36
Bjune_a151	36
Bjune_a152	36
Bjune_a153	36
Bjune_a154	36
Bjune_a155	36
Bjune_a156	36
Bjune_a157	36
Bjune_a158	36
Bjune_a159	36
Bjune_a16	36
Bjune_a160	36
Bjune_a161	36
Bjune_a162	36
Bjune_a163	36
Bjune_a164	36
Bjune_a165	36
Bjune_a166	36
Bjune_a167	36
Bjune_a168	36
Bjune_a169	36
Bjune_a17	36
Bjune_a170	36
Bjune_a171	36
Bjune_a172	36
Bjune_a173	36
Bjune_a174	36
Bjune_a175	36
Bjune_a176	36
Bjune_a177	36
Bjune_a178	36
Bjune_a179	36
Bjune_a18	36
Bjune_a180	36
Bjune_a181	36
Bjune_a182	36
Bjune_a183	36
Bjune_a184	36
Bjune_a185	36
Bjune_a186	36
Bjune_a187	36
Bjune_a188	36
Bjune_a189	36
Bjune_a19	36
Bjune_a190	36
Bjune_a191	36
Bjune_a192	36
Bjune_a193	36
Bjune_a194	36
Bjune_a195	36
Bjune_a196	36
Bjune_a197	36
Bjune_a198	36
Bjune_a199	36
Bjune_a2	36
Bjune_a20	36
Bjune_a200	36
Bjune_a201	36
Bjune_a202	36
Bjune_a203	36
Bjune_a204	36
Bjune_a205	36
Bjune_a206	36
Bjune_a207	36
Bjune_a208	36
Bjune_a209	36
Bjune_a21	36
Bjune_a210	36
Bjune_a211	36
Bjune_a212	36
Bjune_a213	36
Bjune_a214	36
Bjune_a215	36
Bjune_a216	36
Bjune_a217	36
Bjune_a218	36
Bjune_a219	36
Bjune_a22	36
Bjune_a220	36
Bjune_a221	36
Bjune_a222	36
Bjune_a223	36
Bjune_a224	36
Bjune_a225	36
Bjune_a226	36
Bjune_a227	36
Bjune_a228	36
Bjune_a229	36
Bjune_a23	36
Bjune_a230	36
Bjune_a231	36
Bjune_a232	36
Bjune_a233	36
Bjune_a234	36
Bjune_a235	36
Bjune_a236	36
Bjune_a237	36
Bjune_a238	36
Bjune_a239	36
Bjune_a24	36
Bjune_a240	36
Bjune_a241	36
Bjune_a242	36
Bjune_a243	36
Bjune_a244	36
Bjune_a245	36
Bjune_a246	36
Bjune_a247	36
Bjune_a248	36
Bjune_a249	36
Bjune_a25	36
Bjune_a250	36
Bjune_a251	36
Bjune_a252	36
Bjune_a253	36
Bjune_a254	36
Bjune_a255	36
Bjune_a256	36
Bjune_a257	36
Bjune_a258	36
Bjune_a259	36
Bjune_a26	36
Bjune_a260	36
Bjune_a261	36
Bjune_a262	36
Bjune_a263	36
Bjune_a264	36
Bjune_a265	36
Bjune_a266	36
Bjune_a267	36
Bjune_a268	36
Bjune_a269	36
Bjune_a27	36
Bjune_a270	36
Bjune_a271	36
Bjune_a272	36
Bjune_a273	36
Bjune_a274	36
Bjune_a275	36
Bjune_a276	36
Bjune_a277	36
Bjune_a278	36
Bjune_a279	36
Bjune_a28	36
Bjune_a280	36
Bjune_a281	36
Bjune_a282	36
Bjune_a283	36
Bjune_a284	36
Bjune_a285	36
Bjune_a286	36
Bjune_a287	36
Bjune_a288	36
Bjune_a289	36
Bjune_a29	36
Bjune_a290	36
Bjune_a291	36
Bjune_a292	36
Bjune_a293	36
Bjune_a294	36
Bjune_a295	36
Bjune_a296	36
Bjune_a297	36
Bjune_a298	36
Bjune_a299	36
Bjune_a3	36
Bjune_a30	36
Bjune_a300	36
Bjune_a301	36
Bjune_a302	36
Bjune_a303	36
Bjune_a304	36
Bjune_a305	36
Bjune_a306	36
Bjune_a307	36
Bjune_a308	36
Bjune_a309	36
Bjune_a31	36
Bjune_a310	36
Bjune_a311	36
Bjune_a312	36
Bjune_a313	36
Bjune_a314	36
Bjune_a315	36
Bjune_a316	36
Bjune_a317	36
Bjune_a318	36
Bjune_a319	36
Bjune_a32	36
Bjune_a320	36
Bjune_a321	36
Bjune_a33	36
Bjune_a34	36
Bjune_a35	36
Bjune_a36	36
Bjune_a37	36
Bjune_a38	36
Bjune_a39	36
Bjune_a4	36
Bjune_a40	36
Bjune_a41	36
Bjune_a42	36
Bjune_a43	36
Bjune_a44	36
Bjune_a45	36
Bjune_a46	36
Bjune_a47	36
Bjune_a48	36
Bjune_a49	36
Bjune_a5	36
Bjune_a50	36
Bjune_a51	36
Bjune_a52	36
Bjune_a53	36
Bjune_a54	36
Bjune_a55	36
Bjune_a56	36
Bjune_a57	36
Bjune_a58	36
Bjune_a59	36
Bjune_a6	36
Bjune_a60	36
Bjune_a61	36
Bjune_a62	36
Bjune_a63	36
Bjune_a64	36
Bjune_a65	36
Bjune_a66	36
Bjune_a67	36
Bjune_a68	36
Bjune_a69	36
Bjune_a7	36
Bjune_a70	36
Bjune_a71	36
Bjune_a72	36
Bjune_a73	36
Bjune_a74	36
Bjune_a75	36
Bjune_a76	36
Bjune_a77	36
Bjune_a78	36
Bjune_a79	36
Bjune_a8	36
Bjune_a80	36
Bjune_a81	36
Bjune_a82	36
Bjune_a83	36
Bjune_a84	36
Bjune_a85	36
Bjune_a86	36
Bjune_a87	36
Bjune_a88	36
Bjune_a89	36
Bjune_a9	36
Bjune_a90	36
Bjune_a91	36
Bjune_a92	36
Bjune_a93	36
Bjune_a94	36
Bjune_a95	36
Bjune_a96	36
Bjune_a97	36
Bjune_a98	36
Bjune_a99	36
Blyakharchuk_a1	37
Blyakharchuk_a11	37
Blyakharchuk_a12	37
Blyakharchuk_a13	37
Blyakharchuk_a14	37
Blyakharchuk_a15	37
Blyakharchuk_a16	37
Blyakharchuk_a17	37
Blyakharchuk_a18	37
Blyakharchuk_a19	37
Blyakharchuk_a2	37
Blyakharchuk_a20	37
Blyakharchuk_a21	37
Blyakharchuk_a22	37
Blyakharchuk_a23	37
Blyakharchuk_a24	37
Blyakharchuk_a25	37
Blyakharchuk_a26	37
Blyakharchuk_a27	37
Blyakharchuk_a28	37
Blyakharchuk_a29	37
Blyakharchuk_a29	710
Blyakharchuk_a3	37
Blyakharchuk_a30	37
Blyakharchuk_a31	37
Blyakharchuk_a32	37
Blyakharchuk_a33	37
Blyakharchuk_a34	37
Blyakharchuk_a4	37
Blyakharchuk_a5	37
