country	natural_earth
Albania	Albania
Algeria	Algeria
Andorra	Andorra
Armenia	Armenia
Austria	Austria
Azerbaijan	Azerbaijan
Bahrain	Bahrain
Belarus	Belarus
Belgium	Belgium
Bosnia And Herzegovina	Bosnia and Herzegovina
Bulgaria	Bulgaria
Cape Verde	Cape Verde
Croatia	Croatia
Cyprus	Cyprus
Czech Republic	Czech Republic
Denmark	Denmark
Egypt	Egypt
Eritrea	Eritrea
Estonia	Estonia
Ethiopia	Ethiopia
Faroe Islands	Faroe Islands
Finland	Finland
France	France
Georgia	Georgia
Germany	Germany
Gibraltar	Gibraltar
Greece	Greece
Greenland	Greenland
Guernsey	Guernsey
Hungary	Hungary
Iceland	Iceland
Iran, Islamic Republic Of	Iran
Iraq	Iraq
Ireland	Ireland
Isle Of Man	Isle of Man
Israel	Israel
Italy	Italy
India	India
Japan	Japan
Jersey	Jersey
Kazakhstan	Kazakhstan
Kuwait	Kuwait
Kyrgyzstan	Kyrgyzstan
Latvia	Latvia
Lebanon	Lebanon
Libyan Arab Jamahiriya	Libya
Liechtenstein	Liechtenstein
Lithuania	Lithuania
Luxembourg	Luxembourg
Macedonia, The Former Yugoslav Republic Of	Macedonia
Malta	Malta
Moldova, Republic Of	Moldova
Monaco	Monaco
Morocco	Morocco
Netherlands	Netherlands
Norway	Norway
Oman	Oman
Palestinian Territory, Occupied	Palestine
Poland	Poland
Portugal	Portugal
Qatar	Qatar
Romania	Romania
Russian Federation	Russia
San Marino	San Marino
Saudi Arabia	Saudi Arabia
Serbia And Montenegro	Montenegro
Slovakia	Slovakia
Slovenia	Slovenia
Spain	Spain
Sweden	Sweden
Switzerland	Switzerland
Syrian Arab Republic	Syria
Tunisia	Tunisia
Turkey	Turkey
Ukraine	Ukraine
United Arab Emirates	United Arab Emirates
United Kingdom	United Kingdom
Yemen	Yemen
Jordan	Jordan
Black Sea	
Dead Sea	
Turkmenistan, Republic Of	Turkmenistan
Adriatic Sea	
Svalbard and Jan Mayen	Norway
China, People s Republic Of	China
