samplename	var_	count
Atanassova_c2	48	2
Atanassova_c2	15	3
Atanassova_c2	18	1
Atanassova_c2	19	10
Atanassova_c2	49	3
Atanassova_c2	23	345
Atanassova_c2	25	16
Atanassova_c2	29	6
Atanassova_c3	2	11
Atanassova_c3	34	25
Atanassova_c3	4	36
Atanassova_c3	5	66
Atanassova_c3	6	296
Atanassova_c3	8	5
Atanassova_c3	10	306
Atanassova_c3	11	234
Atanassova_c3	12	14
Atanassova_c3	36	15
Atanassova_c3	14	12
Atanassova_c3	16	19
Atanassova_c3	17	6
Atanassova_c3	19	10
Atanassova_c3	23	20
Atanassova_c3	25	5
Atanassova_c3	29	7
Atanassova_c4	34	25
Atanassova_c4	3	356
Atanassova_c4	4	41
Atanassova_c4	5	14
Atanassova_c4	6	117
Atanassova_c4	8	4
Atanassova_c4	9	4
Atanassova_c4	11	420
Atanassova_c4	12	20
Atanassova_c4	36	14
Atanassova_c4	48	4
Atanassova_c4	16	3
Atanassova_c4	17	4
Atanassova_c4	19	20
Atanassova_c4	23	6
Atanassova_c4	32	9
Atanassova_c4	27	21
Atanassova_c5	34	45
Atanassova_c5	3	21
Atanassova_c5	4	43
Atanassova_c5	5	39
Atanassova_c5	6	48
Atanassova_c5	7	1
Atanassova_c5	8	6
Atanassova_c5	9	7
Atanassova_c5	10	21
Atanassova_c5	11	291
Atanassova_c5	12	52
Atanassova_c5	36	17
Atanassova_c5	13	2
Atanassova_c5	14	20
Atanassova_c5	15	11
Atanassova_c5	17	10
Atanassova_c5	37	6
Atanassova_c5	18	2
Atanassova_c5	19	32
Atanassova_c5	20	32
Atanassova_c5	50	5
Atanassova_c5	31	5
Atanassova_c5	23	56
Atanassova_c5	32	4
Atanassova_c5	24	4
Atanassova_c5	25	9
Atanassova_c5	26	19
Atanassova_c5	28	23
Atanassova_c5	43	4
Atanassova_d1	1	3
Atanassova_d1	34	24
Atanassova_d1	3	66
Atanassova_d1	4	47
Atanassova_d1	5	21
Atanassova_d1	6	93
Atanassova_d1	47	5
Atanassova_d1	9	12
Atanassova_d1	10	45
Atanassova_d1	11	1276
Atanassova_d1	12	35
Atanassova_d1	36	5
Atanassova_d1	13	10
Atanassova_d1	48	5
Atanassova_d1	14	21
Atanassova_d1	15	16
Atanassova_d1	17	155
Atanassova_d1	18	1
Atanassova_d1	19	42
Atanassova_d1	20	34
Atanassova_d1	50	7
Atanassova_d1	23	210
Atanassova_d1	33	6
Atanassova_d1	24	20
Atanassova_d1	25	28
Atanassova_d1	26	12
Atanassova_d1	29	18
Atanassova_d2	1	12
Atanassova_d2	34	12
Atanassova_d2	3	44
Atanassova_d2	4	48
Atanassova_d2	5	70
Atanassova_d2	6	116
Atanassova_d2	8	6
Atanassova_d2	10	220
Atanassova_d2	11	226
Atanassova_d2	12	62
Atanassova_d2	53	6
Atanassova_d2	14	1
Atanassova_d2	15	1
Atanassova_d2	16	4
Atanassova_d2	17	1
Atanassova_d2	37	8
Atanassova_d2	19	32
Atanassova_d2	20	10
Atanassova_d2	22	11
Atanassova_d2	50	11
Atanassova_d2	23	46
Atanassova_d2	32	16
Atanassova_d2	33	1
Atanassova_d2	25	11
Atanassova_d2	27	3
Atanassova_d2	38	1
Atanassova_d2	29	14
Atanassova_d2	51	3
Bakker_a1	2	2
Bakker_a1	34	1
Bakker_a1	11	25
Bakker_a1	15	24
Bakker_a1	17	11
Bakker_a1	19	8
Bakker_a1	23	9
Bakker_a10	34	1
Bakker_a10	3	2
Bakker_a10	11	926
Bakker_a10	59	38
Bakker_a10	15	15
Bakker_a10	60	1
Bakker_a10	61	8
Bakker_a10	62	19
Bakker_a10	17	53
Bakker_a10	63	3
Bakker_a10	64	6
Bakker_a10	19	33
Bakker_a10	67	2
Bakker_a10	23	4
Bakker_a10	68	2
Bakker_a10	70	12
Bakker_a11	55	1
Bakker_a11	34	1
Bakker_a11	71	27
Bakker_a11	72	1
Bakker_a11	11	340
Bakker_a11	59	18
Bakker_a11	53	1
Bakker_a11	15	3
Bakker_a11	60	1
Bakker_a11	61	2
Bakker_a11	62	3
Bakker_a11	17	5
Bakker_a11	63	1
Bakker_a11	64	1
Bakker_a11	19	1
Bakker_a11	75	1
Bakker_a11	23	2
Bakker_a11	70	18
Bakker_a12	55	8
Bakker_a12	34	2
Bakker_a12	71	2
Bakker_a12	57	10
Bakker_a12	11	352
Bakker_a12	59	2
Bakker_a12	15	2
Bakker_a12	60	6
Bakker_a12	61	6
Bakker_a12	62	100
Bakker_a12	63	6
Bakker_a12	64	4
Bakker_a12	23	14
Bakker_a12	76	4
Bakker_a12	70	30
Bakker_a13	55	2
Bakker_a13	71	14
Bakker_a13	72	2
Bakker_a13	57	44
Bakker_a13	11	42
Bakker_a13	59	14
Bakker_a13	15	22
Bakker_a13	60	2
Bakker_a13	61	20
Bakker_a13	62	84
Bakker_a13	17	16
Bakker_a13	63	4
Bakker_a13	64	14
Bakker_a13	19	2
Bakker_a13	65	4
Bakker_a13	67	8
Bakker_a13	23	44
Bakker_a13	78	10
Bakker_a13	76	2
Bakker_a13	70	54
Bakker_a14	55	2
Bakker_a14	2	2
Bakker_a14	71	4
Bakker_a14	5	1
Bakker_a14	72	2
Bakker_a14	11	276
Bakker_a14	59	48
Bakker_a14	15	7
Bakker_a14	60	1
Bakker_a14	61	4
Bakker_a14	62	39
Bakker_a14	17	9
Bakker_a14	64	2
Bakker_a14	19	1
Bakker_a14	23	9
Bakker_a14	70	35
Bakker_a15	2	9
Bakker_a15	34	6
Bakker_a15	3	4
Bakker_a15	5	1
Bakker_a15	82	2
Bakker_a15	72	1
Bakker_a15	57	3
Bakker_a15	11	38
Bakker_a15	59	15
Bakker_a15	53	1
Bakker_a15	44	3
Bakker_a15	15	51
Bakker_a15	60	3
Bakker_a15	61	7
Bakker_a15	62	67
Bakker_a15	17	16
Bakker_a15	63	12
Bakker_a15	64	13
Bakker_a15	19	64
Bakker_a15	83	2
Bakker_a15	23	11
