samplename	workerid	workerrole
Barboni_a1316	3	R
Barboni_a1317	3	R
Barboni_a1318	3	R
Barboni_a1319	3	R
Barboni_a132	3	R
Barboni_a1320	3	R
Barboni_a1321	3	R
Barboni_a1322	3	R
Barboni_a1323	3	R
Barboni_a1324	3	R
Barboni_a1325	3	R
Barboni_a1326	3	R
Barboni_a1327	3	R
Barboni_a1328	3	R
Barboni_a1329	3	R
Barboni_a133	3	R
Barboni_a1330	3	R
Barboni_a1331	3	R
Barboni_a1332	3	R
Barboni_a1333	3	R
Barboni_a1334	3	R
Barboni_a1335	3	R
Barboni_a1336	3	R
Barboni_a1337	3	R
Barboni_a1338	3	R
Barboni_a1339	3	R
Barboni_a134	3	R
Barboni_a1340	3	R
Barboni_a1341	3	R
Barboni_a1342	3	R
Barboni_a1343	3	R
Barboni_a1344	3	R
Barboni_a1345	3	R
Barboni_a1346	3	R
Barboni_a1347	3	R
Barboni_a1348	3	R
Barboni_a1349	3	R
Barboni_a135	3	R
Barboni_a1350	3	R
Barboni_a1351	3	R
Barboni_a1351	178	
Barboni_a1352	3	R
Barboni_a1352	178	
Barboni_a1353	3	R
Barboni_a1353	178	
Barboni_a1354	3	R
Barboni_a1354	179	
Barboni_a1355	3	R
Barboni_a1355	179	
Barboni_a1356	3	R
Barboni_a1356	48	
Barboni_a1357	3	R
Barboni_a1357	178	
Barboni_a1358	3	R
Barboni_a1358	178	
Barboni_a1359	3	R
Barboni_a1359	178	
Barboni_a136	3	R
Barboni_a1360	3	R
Barboni_a1360	178	
Barboni_a1361	3	R
Barboni_a1361	178	
Barboni_a1362	3	R
Barboni_a1362	178	
Barboni_a1363	3	R
Barboni_a1363	178	
Barboni_a1364	3	R
Barboni_a1364	178	
Barboni_a1365	3	R
Barboni_a1365	178	
Barboni_a1366	3	R
Barboni_a1366	178	
Barboni_a1367	3	R
Barboni_a1367	178	
Barboni_a1368	3	R
Barboni_a1368	178	
Barboni_a1369	3	R
Barboni_a1369	178	
Barboni_a137	3	R
Barboni_a1370	3	R
Barboni_a1370	178	
Barboni_a1371	3	R
Barboni_a1371	178	
Barboni_a1372	3	R
Barboni_a1372	178	
Barboni_a1373	3	R
Barboni_a1373	178	
Barboni_a1374	3	R
Barboni_a1374	178	
Barboni_a1375	3	R
Barboni_a1375	178	
Barboni_a1376	3	R
Barboni_a1376	178	
Barboni_a1377	3	R
Barboni_a1377	178	
Barboni_a1378	3	R
Barboni_a1378	178	
Barboni_a1379	3	R
Barboni_a1379	178	
Barboni_a138	3	R
Barboni_a1380	3	R
Barboni_a1380	178	
Barboni_a1381	3	R
Barboni_a1381	178	
Barboni_a1382	3	R
Barboni_a1382	178	
Barboni_a1383	3	R
Barboni_a1383	178	
Barboni_a1384	3	R
Barboni_a1384	178	
Barboni_a1385	3	R
Barboni_a1385	178	
Barboni_a1386	3	R
Barboni_a1386	178	
Barboni_a1387	3	R
Barboni_a1387	178	
Barboni_a1388	3	R
Barboni_a1388	178	
Barboni_a1389	3	R
Barboni_a1389	178	
Barboni_a139	3	R
