samplename	workerid	workerrole
Barboni_a514	182	
Barboni_a515	3	R
Barboni_a515	182	
Barboni_a516	3	R
Barboni_a516	182	
Barboni_a517	3	R
Barboni_a517	182	
Barboni_a518	3	R
Barboni_a518	182	
Barboni_a519	3	R
Barboni_a519	182	
Barboni_a52	3	R
Barboni_a520	3	R
Barboni_a520	182	
Barboni_a521	3	R
Barboni_a521	182	
Barboni_a522	3	R
Barboni_a522	182	
Barboni_a523	3	R
Barboni_a523	182	
Barboni_a524	3	R
Barboni_a524	182	
Barboni_a525	3	R
Barboni_a525	182	
Barboni_a526	3	R
Barboni_a526	182	
Barboni_a527	3	R
Barboni_a527	182	
Barboni_a528	3	R
Barboni_a528	182	
Barboni_a529	3	R
Barboni_a529	182	
Barboni_a53	3	R
Barboni_a530	3	R
Barboni_a530	182	
Barboni_a531	3	R
Barboni_a531	182	
Barboni_a532	3	R
Barboni_a532	182	
Barboni_a533	3	R
Barboni_a533	182	
Barboni_a534	3	R
Barboni_a534	182	
Barboni_a535	3	R
Barboni_a535	182	
Barboni_a536	3	R
Barboni_a536	182	
Barboni_a537	3	R
Barboni_a537	182	
Barboni_a538	3	R
Barboni_a538	182	
Barboni_a539	3	R
Barboni_a539	182	
Barboni_a54	3	R
Barboni_a540	3	R
Barboni_a540	182	
Barboni_a541	3	R
Barboni_a541	182	
Barboni_a542	3	R
Barboni_a542	182	
Barboni_a543	3	R
Barboni_a543	182	
Barboni_a544	3	R
Barboni_a544	182	
Barboni_a545	3	R
Barboni_a545	182	
Barboni_a546	3	R
Barboni_a546	182	
Barboni_a547	3	R
Barboni_a547	182	
Barboni_a548	3	R
Barboni_a548	182	
Barboni_a549	3	R
Barboni_a549	182	
Barboni_a55	3	R
Barboni_a550	3	R
Barboni_a550	182	
Barboni_a551	3	R
Barboni_a551	182	
Barboni_a552	3	R
Barboni_a552	182	
Barboni_a553	3	R
Barboni_a553	182	
Barboni_a554	3	R
Barboni_a554	182	
Barboni_a555	3	R
Barboni_a555	182	
Barboni_a556	3	R
Barboni_a556	182	
Barboni_a557	3	R
Barboni_a557	182	
Barboni_a558	3	R
Barboni_a558	182	
Barboni_a559	3	R
Barboni_a559	182	
Barboni_a56	3	R
Barboni_a560	3	R
Barboni_a560	182	
Barboni_a561	3	R
Barboni_a561	182	
Barboni_a562	3	R
Barboni_a562	182	
Barboni_a563	3	R
Barboni_a563	182	
Barboni_a564	3	R
Barboni_a564	182	
Barboni_a565	3	R
Barboni_a565	182	
Barboni_a566	3	R
Barboni_a566	182	
Barboni_a567	3	R
Barboni_a567	182	
Barboni_a568	3	R
Barboni_a568	182	
Barboni_a569	3	R
Barboni_a569	182	
Barboni_a57	3	R
Barboni_a570	3	R
Barboni_a570	182	
Barboni_a571	3	R
Barboni_a571	182	
Barboni_a572	3	R
Barboni_a572	182	
Barboni_a573	3	R
Barboni_a573	182	
Barboni_a574	3	R
Barboni_a574	182	
Barboni_a575	3	R
Barboni_a575	182	
Barboni_a576	3	R
Barboni_a576	182	
Barboni_a577	3	R
Barboni_a577	182	
Barboni_a578	3	R
Barboni_a578	182	
Barboni_a579	3	R
Barboni_a579	182	
Barboni_a58	3	R
Barboni_a580	3	R
Barboni_a580	182	
Barboni_a581	3	R
Barboni_a581	182	
Barboni_a582	3	R
Barboni_a582	182	
Barboni_a583	3	R
Barboni_a583	182	
Barboni_a584	3	R
Barboni_a584	182	
Barboni_a585	3	R
Barboni_a585	182	
Barboni_a586	3	R
Barboni_a586	182	
Barboni_a587	3	R
Barboni_a587	182	
Barboni_a588	3	R
Barboni_a588	182	
Barboni_a589	3	R
Barboni_a589	182	
Barboni_a59	3	R
Barboni_a590	3	R
Barboni_a590	182	
Barboni_a591	3	R
Barboni_a591	182	
Barboni_a592	3	R
Barboni_a592	182	
Barboni_a593	3	R
Barboni_a593	182	
Barboni_a594	3	R
Barboni_a594	182	
Barboni_a595	3	R
Barboni_a595	182	
Barboni_a596	3	R
Barboni_a596	182	
Barboni_a597	3	R
Barboni_a597	182	
Barboni_a598	3	R
Barboni_a598	182	
Barboni_a599	3	R
Barboni_a599	182	
Barboni_a6	3	R
Barboni_a6	178	
Barboni_a60	3	R
Barboni_a600	3	R
Barboni_a600	182	
Barboni_a601	3	R
Barboni_a601	182	
Barboni_a602	3	R
Barboni_a602	182	
Barboni_a603	3	R
Barboni_a603	182	
Barboni_a604	3	R
Barboni_a604	182	
Barboni_a605	3	R
Barboni_a605	182	
Barboni_a606	3	R
Barboni_a606	182	
Barboni_a607	3	R
Barboni_a607	182	
Barboni_a608	3	R
Barboni_a608	182	
Barboni_a609	3	R
Barboni_a609	182	
Barboni_a61	3	R
Barboni_a610	3	R
Barboni_a610	182	
Barboni_a611	3	R
Barboni_a611	182	
Barboni_a612	3	R
Barboni_a612	182	
Barboni_a613	3	R
Barboni_a613	182	
Barboni_a614	3	R
Barboni_a614	182	
Barboni_a615	3	R
Barboni_a615	182	
Barboni_a616	3	R
Barboni_a616	182	
Barboni_a617	3	R
Barboni_a617	182	
Barboni_a618	3	R
Barboni_a618	182	
Barboni_a619	3	R
Barboni_a619	182	
Barboni_a62	3	R
Barboni_a620	3	R
Barboni_a620	182	
Barboni_a621	3	R
Barboni_a621	182	
Barboni_a622	3	R
Barboni_a622	182	
Barboni_a623	3	R
Barboni_a623	182	
Barboni_a624	3	R
Barboni_a624	182	
Barboni_a625	3	R
Barboni_a625	182	
Barboni_a626	3	R
Barboni_a626	182	
Barboni_a627	3	R
Barboni_a627	182	
Barboni_a628	3	R
Barboni_a628	182	
Barboni_a629	3	R
Barboni_a629	182	
Barboni_a63	3	R
Barboni_a630	3	R
Barboni_a630	182	
Barboni_a631	3	R
Barboni_a631	182	
Barboni_a632	3	R
Barboni_a632	182	
Barboni_a633	3	R
Barboni_a633	182	
Barboni_a634	3	R
Barboni_a634	182	
Barboni_a635	3	R
Barboni_a635	182	
Barboni_a636	3	R
Barboni_a636	182	
Barboni_a637	3	R
Barboni_a637	182	
Barboni_a638	3	R
Barboni_a638	182	
Barboni_a639	3	R
Barboni_a639	182	
Barboni_a64	3	R
Barboni_a640	3	R
Barboni_a640	182	
Barboni_a641	3	R
Barboni_a641	182	
Barboni_a642	3	R
Barboni_a642	182	
Barboni_a643	3	R
Barboni_a643	182	
Barboni_a644	3	R
Barboni_a644	182	
Barboni_a645	3	R
Barboni_a645	182	
Barboni_a646	3	R
Barboni_a646	182	
Barboni_a647	3	R
Barboni_a647	182	
Barboni_a648	3	R
Barboni_a648	182	
Barboni_a649	3	R
Barboni_a649	182	
Barboni_a65	3	R
Barboni_a650	3	R
Barboni_a650	182	
Barboni_a651	3	R
Barboni_a651	182	
Barboni_a652	3	R
Barboni_a652	182	
Barboni_a653	3	R
Barboni_a653	182	
Barboni_a654	3	R
Barboni_a654	182	
Barboni_a655	3	R
Barboni_a655	182	
Barboni_a656	3	R
Barboni_a656	182	
Barboni_a657	3	R
Barboni_a657	182	
Barboni_a658	3	R
Barboni_a658	182	
Barboni_a659	3	R
Barboni_a659	182	
Barboni_a66	3	R
Barboni_a660	3	R
Barboni_a660	182	
Barboni_a661	3	R
Barboni_a661	182	
Barboni_a662	3	R
Barboni_a662	182	
Barboni_a663	3	R
Barboni_a663	182	
Barboni_a664	3	R
Barboni_a664	182	
Barboni_a665	3	R
Barboni_a665	182	
Barboni_a666	3	R
Barboni_a666	182	
Barboni_a667	3	R
Barboni_a667	182	
Barboni_a668	3	R
Barboni_a668	182	
Barboni_a669	3	R
Barboni_a669	182	
Barboni_a67	3	R
Barboni_a670	3	R
Barboni_a670	182	
Barboni_a671	3	R
Barboni_a671	182	
Barboni_a672	3	R
Barboni_a672	182	
Barboni_a673	3	R
Barboni_a673	182	
Barboni_a674	3	R
Barboni_a674	182	
Barboni_a675	3	R
Barboni_a675	182	
Barboni_a676	3	R
Barboni_a676	182	
Barboni_a677	3	R
Barboni_a677	182	
Barboni_a678	3	R
Barboni_a678	182	
Barboni_a679	3	R
Barboni_a679	182	
Barboni_a68	3	R
Barboni_a680	3	R
Barboni_a680	182	
Barboni_a681	3	R
Barboni_a681	182	
Barboni_a682	3	R
Barboni_a682	182	
Barboni_a683	3	R
Barboni_a683	182	
Barboni_a684	3	R
Barboni_a684	182	
Barboni_a685	3	R
Barboni_a685	182	
Barboni_a686	3	R
Barboni_a686	182	
Barboni_a687	3	R
Barboni_a687	182	
Barboni_a688	3	R
Barboni_a688	182	
Barboni_a689	3	R
Barboni_a689	182	
Barboni_a69	3	R
Barboni_a690	3	R
Barboni_a690	182	
Barboni_a691	3	R
Barboni_a691	182	
Barboni_a692	3	R
Barboni_a692	182	
Barboni_a693	3	R
Barboni_a693	182	
Barboni_a694	3	R
Barboni_a694	182	
Barboni_a695	3	R
Barboni_a695	182	
Barboni_a696	3	R
Barboni_a696	182	
Barboni_a697	3	R
Barboni_a697	182	
Barboni_a698	3	R
Barboni_a698	182	
Barboni_a699	3	R
Barboni_a699	182	
Barboni_a7	3	R
Barboni_a7	178	
Barboni_a70	3	R
Barboni_a700	3	R
Barboni_a700	182	
Barboni_a701	3	R
Barboni_a701	182	
Barboni_a702	3	R
Barboni_a702	182	
Barboni_a703	3	R
Barboni_a703	182	
Barboni_a704	3	R
Barboni_a704	182	
Barboni_a705	3	R
Barboni_a705	182	
Barboni_a706	3	R
Barboni_a706	179	
Barboni_a707	3	R
Barboni_a708	3	R
Barboni_a709	3	R
Barboni_a71	3	R
Barboni_a710	3	R
Barboni_a711	3	R
Barboni_a712	3	R
Barboni_a713	3	R
Barboni_a714	3	R
Barboni_a715	3	R
Barboni_a716	3	R
Barboni_a717	3	R
Barboni_a718	3	R
Barboni_a719	3	R
Barboni_a72	3	R
Barboni_a720	3	R
Barboni_a721	3	R
Barboni_a722	3	R
Barboni_a723	3	R
Barboni_a724	3	R
Barboni_a725	3	R
Barboni_a726	3	R
Barboni_a727	3	R
Barboni_a728	3	R
Barboni_a729	3	R
Barboni_a73	3	R
Barboni_a730	3	R
Barboni_a731	3	R
Barboni_a732	3	R
Barboni_a733	3	R
Barboni_a734	3	R
Barboni_a735	3	R
Barboni_a736	3	R
Barboni_a737	3	R
Barboni_a738	3	R
Barboni_a738	182	
Barboni_a739	3	R
Barboni_a74	3	R
Barboni_a740	3	R
Barboni_a741	3	R
Barboni_a742	3	R
Barboni_a743	3	R
Barboni_a744	3	R
Barboni_a745	3	R
Barboni_a746	3	R
Barboni_a747	3	R
Barboni_a748	3	R
Barboni_a749	3	R
Barboni_a75	3	R
Barboni_a750	3	R
Barboni_a751	3	R
Barboni_a752	3	R
Barboni_a752	192	
Barboni_a753	3	R
Barboni_a753	179	
Barboni_a754	3	R
Barboni_a754	179	
Barboni_a755	3	R
Barboni_a755	179	
Barboni_a756	3	R
Barboni_a757	3	R
Barboni_a758	3	R
Barboni_a759	3	R
Barboni_a76	3	R
Barboni_a760	3	R
Barboni_a760	186	
Barboni_a761	3	R
Barboni_a761	186	
Barboni_a762	3	R
Barboni_a762	193	
Barboni_a763	3	R
Barboni_a763	181	
Barboni_a764	3	R
Barboni_a764	182	
Barboni_a765	3	R
Barboni_a765	189	
Barboni_a766	3	R
Barboni_a766	179	
Barboni_a767	3	R
Barboni_a767	179	
Barboni_a768	3	R
Barboni_a769	3	R
Barboni_a769	182	
Barboni_a77	3	R
Barboni_a770	3	R
Barboni_a770	194	
Barboni_a771	3	R
Barboni_a771	194	
Barboni_a772	3	R
Barboni_a772	194	
Barboni_a773	3	R
Barboni_a773	194	
Barboni_a774	3	R
Barboni_a774	194	
Barboni_a775	3	R
Barboni_a775	194	
Barboni_a776	3	R
Barboni_a776	194	
Barboni_a777	3	R
Barboni_a777	194	
Barboni_a778	3	R
Barboni_a778	194	
Barboni_a779	3	R
Barboni_a779	194	
Barboni_a78	3	R
Barboni_a780	3	R
Barboni_a780	194	
Barboni_a781	3	R
Barboni_a781	194	
Barboni_a782	3	R
Barboni_a782	194	
Barboni_a783	3	R
Barboni_a783	194	
Barboni_a784	3	R
Barboni_a784	194	
Barboni_a785	3	R
Barboni_a785	194	
Barboni_a786	3	R
Barboni_a786	194	
Barboni_a787	3	R
Barboni_a787	194	
Barboni_a788	3	R
Barboni_a788	195	
Barboni_a788	228	
Barboni_a789	3	R
Barboni_a79	3	R
Barboni_a790	3	R
Barboni_a791	3	R
Barboni_a792	3	R
Barboni_a793	3	R
Barboni_a794	3	R
Barboni_a795	3	R
Barboni_a796	3	R
Barboni_a797	3	R
Barboni_a798	3	R
Barboni_a799	3	R
Barboni_a8	3	R
Barboni_a8	178	
Barboni_a80	3	R
Barboni_a800	3	R
Barboni_a801	3	R
Barboni_a802	3	R
Barboni_a803	3	R
Barboni_a804	3	R
Barboni_a805	3	R
Barboni_a806	3	R
Barboni_a807	3	R
Barboni_a808	3	R
Barboni_a809	3	R
Barboni_a81	3	R
Barboni_a810	3	R
Barboni_a811	3	R
Barboni_a811	186	
Barboni_a812	3	R
Barboni_a812	186	
Barboni_a813	3	R
Barboni_a813	186	
Barboni_a814	3	R
Barboni_a814	186	
Barboni_a815	3	R
Barboni_a815	186	
Barboni_a816	3	R
Barboni_a816	186	
Barboni_a817	3	R
Barboni_a817	186	
Barboni_a818	3	R
Barboni_a818	186	
Barboni_a819	3	R
Barboni_a82	3	R
Barboni_a820	3	R
Barboni_a821	3	R
Barboni_a822	3	R
Barboni_a823	3	R
Barboni_a824	3	R
Barboni_a825	3	R
Barboni_a826	3	R
Barboni_a827	3	R
Barboni_a828	3	R
Barboni_a829	3	R
Barboni_a83	3	R
Barboni_a830	3	R
Barboni_a831	3	R
Barboni_a832	3	R
Barboni_a833	3	R
Barboni_a834	3	R
Barboni_a835	3	R
Barboni_a836	3	R
Barboni_a837	3	R
Barboni_a837	196	
Barboni_a838	3	R
Barboni_a838	196	
Barboni_a839	3	R
Barboni_a839	196	
Barboni_a84	3	R
Barboni_a840	3	R
Barboni_a840	196	
Barboni_a841	3	R
Barboni_a841	196	
Barboni_a842	3	R
Barboni_a842	196	
Barboni_a843	3	R
Barboni_a843	196	
Barboni_a844	3	R
Barboni_a844	196	
Barboni_a845	3	R
Barboni_a845	196	
Barboni_a846	3	R
Barboni_a846	196	
Barboni_a847	3	R
Barboni_a847	196	
Barboni_a848	3	R
Barboni_a848	196	
Barboni_a849	3	R
Barboni_a849	196	
Barboni_a85	3	R
Barboni_a850	3	R
Barboni_a850	196	
Barboni_a851	3	R
Barboni_a851	186	
Barboni_a852	3	R
Barboni_a852	186	
Barboni_a853	3	R
Barboni_a853	186	
Barboni_a854	3	R
Barboni_a854	186	
Barboni_a855	3	R
Barboni_a855	186	
Barboni_a856	3	R
Barboni_a856	186	
Barboni_a857	3	R
Barboni_a857	186	
Barboni_a858	3	R
Barboni_a858	186	
Barboni_a859	3	R
Barboni_a859	186	
Barboni_a86	3	R
Barboni_a860	3	R
Barboni_a860	186	
Barboni_a861	3	R
Barboni_a861	186	
Barboni_a862	3	R
Barboni_a862	186	
Barboni_a863	3	R
Barboni_a863	186	
Barboni_a864	3	R
Barboni_a864	186	
Barboni_a865	3	R
Barboni_a865	186	
Barboni_a866	3	R
Barboni_a866	186	
Barboni_a867	3	R
Barboni_a867	186	
Barboni_a868	3	R
Barboni_a868	186	
Barboni_a869	3	R
Barboni_a869	186	
Barboni_a87	3	R
Barboni_a870	3	R
Barboni_a870	186	
Barboni_a871	3	R
Barboni_a871	186	
Barboni_a872	3	R
Barboni_a872	186	
Barboni_a873	3	R
Barboni_a873	186	
Barboni_a874	3	R
Barboni_a874	186	
Barboni_a875	3	R
Barboni_a875	186	
Barboni_a876	3	R
Barboni_a876	186	
Barboni_a877	3	R
Barboni_a877	186	
Barboni_a878	3	R
Barboni_a878	186	
Barboni_a879	3	R
Barboni_a879	186	
Barboni_a88	3	R
Barboni_a880	3	R
Barboni_a880	186	
Barboni_a881	3	R
Barboni_a881	186	
Barboni_a882	3	R
Barboni_a882	186	
Barboni_a883	3	R
Barboni_a883	186	
Barboni_a884	3	R
Barboni_a884	186	
Barboni_a885	3	R
Barboni_a885	186	
Barboni_a886	3	R
Barboni_a886	186	
Barboni_a887	3	R
Barboni_a887	186	
Barboni_a888	3	R
Barboni_a888	186	
Barboni_a889	3	R
Barboni_a889	186	
Barboni_a89	3	R
Barboni_a890	3	R
Barboni_a890	186	
Barboni_a891	3	R
Barboni_a891	186	
Barboni_a892	3	R
Barboni_a892	186	
Barboni_a893	3	R
Barboni_a893	186	
Barboni_a894	3	R
Barboni_a894	186	
Barboni_a895	3	R
Barboni_a895	186	
Barboni_a896	3	R
Barboni_a896	186	
Barboni_a897	3	R
Barboni_a897	186	
Barboni_a898	3	R
Barboni_a898	186	
Barboni_a899	3	R
Barboni_a899	186	
Barboni_a9	3	R
Barboni_a9	178	
Barboni_a90	3	R
Barboni_a900	3	R
Barboni_a900	186	
Barboni_a901	3	R
Barboni_a901	186	
Barboni_a902	3	R
Barboni_a902	186	
Barboni_a903	3	R
Barboni_a903	186	
Barboni_a904	3	R
Barboni_a904	186	
Barboni_a905	3	R
Barboni_a905	186	
Barboni_a906	3	R
Barboni_a906	186	
Barboni_a907	3	R
Barboni_a907	186	
Barboni_a908	3	R
Barboni_a908	186	
Barboni_a909	3	R
Barboni_a909	186	
Barboni_a91	3	R
Barboni_a910	3	R
Barboni_a911	3	R
Barboni_a911	186	
Barboni_a912	3	R
Barboni_a912	186	
Barboni_a913	3	R
Barboni_a913	186	
Barboni_a914	3	R
Barboni_a914	186	
Barboni_a915	3	R
Barboni_a915	186	
Barboni_a916	3	R
Barboni_a916	186	
Barboni_a917	3	R
Barboni_a917	186	
Barboni_a918	3	R
Barboni_a918	186	
Barboni_a919	3	R
Barboni_a919	186	
Barboni_a92	3	R
Barboni_a920	3	R
Barboni_a920	186	
Barboni_a921	3	R
Barboni_a921	186	
Barboni_a922	3	R
Barboni_a922	186	
Barboni_a923	3	R
Barboni_a923	179	
Barboni_a924	3	R
Barboni_a924	185	
Barboni_a925	3	R
Barboni_a925	186	
Barboni_a926	3	R
Barboni_a926	186	
Barboni_a927	3	R
Barboni_a927	186	
Barboni_a928	3	R
Barboni_a928	189	
Barboni_a929	3	R
Barboni_a929	179	
Barboni_a93	3	R
Barboni_a930	3	R
Barboni_a930	179	
Barboni_a931	3	R
Barboni_a931	179	
Barboni_a932	3	R
Barboni_a932	179	
Barboni_a933	3	R
Barboni_a933	179	
Barboni_a934	3	R
Barboni_a934	185	
Barboni_a935	3	R
Barboni_a935	186	
Barboni_a936	3	R
Barboni_a936	186	
Barboni_a937	3	R
Barboni_a937	186	
Barboni_a938	3	R
Barboni_a938	186	
Barboni_a939	3	R
Barboni_a939	185	
Barboni_a94	3	R
Barboni_a940	3	R
Barboni_a940	186	
Barboni_a941	3	R
Barboni_a941	186	
Barboni_a942	3	R
Barboni_a942	186	
Barboni_a943	3	R
Barboni_a943	191	
Barboni_a944	3	R
Barboni_a944	197	
Barboni_a945	3	R
Barboni_a945	197	
Barboni_a946	3	R
Barboni_a947	3	R
Barboni_a947	186	
Barboni_a948	3	R
Barboni_a948	198	
Barboni_a949	3	R
Barboni_a949	184	
Barboni_a95	3	R
Barboni_a950	3	R
Barboni_a950	179	
Barboni_a951	3	R
Barboni_a951	179	
Barboni_a952	3	R
Barboni_a953	3	R
Barboni_a954	3	R
Barboni_a955	3	R
Barboni_a956	3	R
Barboni_a957	3	R
Barboni_a958	3	R
Barboni_a959	3	R
Barboni_a96	3	R
Barboni_a960	3	R
Barboni_a961	3	R
Barboni_a962	3	R
Barboni_a963	3	R
Barboni_a964	3	R
Barboni_a965	3	R
Barboni_a966	3	R
Barboni_a967	3	R
Barboni_a968	3	R
Barboni_a969	3	R
Barboni_a97	3	R
Barboni_a970	3	R
Barboni_a971	3	R
Barboni_a972	3	R
Barboni_a973	3	R
Barboni_a974	3	R
Barboni_a975	3	R
Barboni_a976	3	R
Barboni_a977	3	R
Barboni_a978	3	R
Barboni_a979	3	R
Barboni_a98	3	R
Barboni_a980	3	R
Barboni_a981	3	R
Barboni_a982	3	R
Barboni_a983	3	R
Barboni_a984	3	R
Barboni_a985	3	R
Barboni_a986	3	R
Barboni_a987	3	R
Barboni_a988	3	R
Barboni_a989	3	R
Barboni_a99	3	R
Barboni_a990	3	R
Barboni_a991	3	R
Barboni_a992	3	R
Barboni_a993	3	R
Barboni_a994	3	R
Barboni_a995	3	R
Barboni_a996	3	R
Barboni_a997	3	R
Barboni_a998	3	R
Barboni_a999	3	R
Beaudouin_a1	4	R/A
Beaudouin_a10	4	R/A
Beaudouin_a11	4	R/A
Beaudouin_a12	4	R/A
Beaudouin_a13	4	R/A
Beaudouin_a14	4	R/A
Beaudouin_a15	4	R/A
Beaudouin_a16	4	R/A
Beaudouin_a17	4	R/A
Beaudouin_a2	4	R/A
Beaudouin_a3	4	R/A
Beaudouin_a4	4	R/A
Beaudouin_a5	4	R/A
Beaudouin_a6	4	R/A
Beaudouin_a7	4	R/A
Beaudouin_a8	4	R/A
Beaudouin_a9	4	R/A
Bjune_a1	5	R
Bjune_a1	199	A/I
Bjune_a10	5	R
Bjune_a10	199	A/I
Bjune_a100	5	R
Bjune_a100	199	A/I
Bjune_a101	5	R
Bjune_a101	199	A/I
Bjune_a102	5	R
Bjune_a102	199	A/I
Bjune_a103	5	R
Bjune_a103	199	A/I
Bjune_a104	5	R
Bjune_a104	199	A/I
Bjune_a105	5	R
Bjune_a105	199	A/I
Bjune_a106	5	R
Bjune_a106	199	A/I
Bjune_a107	5	R
Bjune_a107	199	A/I
Bjune_a108	5	R
Bjune_a108	199	A/I
Bjune_a109	5	R
Bjune_a109	199	A/I
Bjune_a11	5	R
Bjune_a11	199	A/I
Bjune_a110	5	R
Bjune_a110	199	A/I
Bjune_a111	5	R
Bjune_a111	199	A/I
Bjune_a112	5	R
Bjune_a112	199	A/I
Bjune_a113	5	R
Bjune_a113	199	A/I
Bjune_a114	5	R
Bjune_a114	199	A/I
Bjune_a115	5	R
Bjune_a115	199	A/I
Bjune_a116	5	R
Bjune_a116	199	A/I
Bjune_a117	5	R
Bjune_a117	199	A/I
Bjune_a118	5	R
Bjune_a118	199	A/I
Bjune_a119	5	R
Bjune_a119	199	A/I
Bjune_a12	5	R
Bjune_a12	199	A/I
Bjune_a120	5	R
Bjune_a120	199	A/I
Bjune_a121	5	R
Bjune_a121	199	A/I
Bjune_a122	5	R
Bjune_a122	199	A/I
Bjune_a123	5	R
Bjune_a123	199	A/I
Bjune_a124	5	R
Bjune_a124	199	A/I
Bjune_a125	5	R
Bjune_a125	199	A/I
Bjune_a126	5	R
Bjune_a126	199	A/I
Bjune_a127	5	R
Bjune_a127	199	A/I
Bjune_a128	5	R
Bjune_a128	199	A/I
Bjune_a129	5	R
Bjune_a129	199	A/I
Bjune_a13	5	R
Bjune_a13	199	A/I
Bjune_a130	5	R
Bjune_a130	199	A/I
Bjune_a131	5	R
Bjune_a131	199	A/I
Bjune_a132	5	R
Bjune_a132	199	A/I
Bjune_a133	5	R
Bjune_a133	199	A/I
Bjune_a134	5	R
Bjune_a134	199	A/I
Bjune_a135	5	R
Bjune_a135	199	A/I
Bjune_a136	5	R
Bjune_a136	199	A/I
Bjune_a137	5	R
Bjune_a137	199	A/I
Bjune_a138	5	R
Bjune_a138	199	A/I
Bjune_a139	5	R
Bjune_a139	199	A/I
Bjune_a14	5	R
Bjune_a14	199	A/I
Bjune_a140	5	R
Bjune_a140	199	A/I
Bjune_a141	5	R
Bjune_a141	199	A/I
Bjune_a142	5	R
Bjune_a142	199	A/I
Bjune_a143	5	R
Bjune_a143	199	A/I
Bjune_a144	5	R
Bjune_a144	199	A/I
Bjune_a145	5	R
Bjune_a145	199	A/I
Bjune_a146	5	R
Bjune_a146	199	A/I
Bjune_a147	5	R
Bjune_a147	199	A/I
Bjune_a148	5	R
Bjune_a148	199	A/I
Bjune_a149	5	R
Bjune_a149	199	A/I
Bjune_a15	5	R
Bjune_a15	199	A/I
Bjune_a150	5	R
Bjune_a150	199	A/I
Bjune_a151	5	R
Bjune_a151	199	A/I
Bjune_a152	5	R
Bjune_a152	199	A/I
Bjune_a153	5	R
Bjune_a153	199	A/I
Bjune_a154	5	R
Bjune_a154	199	A/I
Bjune_a155	5	R
Bjune_a155	199	A/I
Bjune_a156	5	R
Bjune_a156	199	A/I
Bjune_a157	5	R
Bjune_a157	199	A/I
Bjune_a158	5	R
Bjune_a158	199	A/I
Bjune_a159	5	R
Bjune_a159	199	A/I
Bjune_a16	5	R
Bjune_a16	199	A/I
Bjune_a160	5	R
Bjune_a160	199	A/I
Bjune_a161	5	R
Bjune_a161	199	A/I
Bjune_a162	5	R
Bjune_a162	199	A/I
Bjune_a163	5	R
Bjune_a163	199	A/I
Bjune_a164	5	R
Bjune_a164	199	A/I
Bjune_a165	5	R
Bjune_a165	199	A/I
Bjune_a166	5	R
Bjune_a166	199	A/I
Bjune_a167	5	R
Bjune_a167	199	A/I
Bjune_a168	5	R
Bjune_a168	199	A/I
Bjune_a169	5	R
Bjune_a169	199	A/I
Bjune_a17	5	R
Bjune_a17	199	A/I
Bjune_a170	5	R
Bjune_a170	199	A/I
Bjune_a171	5	R
Bjune_a171	199	A/I
Bjune_a172	5	R
Bjune_a172	199	A/I
Bjune_a173	5	R
Bjune_a173	199	A/I
Bjune_a174	5	R
Bjune_a174	199	A/I
Bjune_a175	5	R
Bjune_a175	199	A/I
Bjune_a176	5	R
Bjune_a176	199	A/I
Bjune_a177	5	R
Bjune_a177	199	A/I
Bjune_a178	5	R
Bjune_a178	199	A/I
Bjune_a179	5	R
Bjune_a179	199	A/I
Bjune_a18	5	R
Bjune_a18	199	A/I
Bjune_a180	5	R
Bjune_a180	199	A/I
Bjune_a181	5	R
Bjune_a181	199	A/I
Bjune_a182	5	R
Bjune_a182	199	A/I
Bjune_a183	5	R
Bjune_a183	199	A/I
Bjune_a184	5	R
Bjune_a184	199	A/I
Bjune_a185	5	R
Bjune_a185	199	A/I
Bjune_a186	5	R
Bjune_a186	199	A/I
Bjune_a187	5	R
Bjune_a187	199	A/I
Bjune_a188	5	R
Bjune_a188	199	A/I
Bjune_a189	5	R
Bjune_a189	199	A/I
Bjune_a19	5	R
Bjune_a19	199	A/I
Bjune_a190	5	R
Bjune_a190	199	A/I
Bjune_a191	5	R
Bjune_a191	199	A/I
Bjune_a192	5	R
Bjune_a192	199	A/I
Bjune_a193	5	R
Bjune_a193	199	A/I
Bjune_a194	5	R
Bjune_a194	199	A/I
Bjune_a195	5	R
Bjune_a195	199	A/I
Bjune_a196	5	R
Bjune_a196	199	A/I
Bjune_a197	5	R
Bjune_a197	199	A/I
Bjune_a198	5	R
Bjune_a198	199	A/I
Bjune_a199	5	R
Bjune_a199	199	A/I
Bjune_a2	5	R
Bjune_a2	199	A/I
Bjune_a20	5	R
Bjune_a20	199	A/I
Bjune_a200	5	R
Bjune_a200	199	A/I
Bjune_a201	5	R
Bjune_a201	199	A/I
Bjune_a202	5	R
Bjune_a202	199	A/I
Bjune_a203	5	R
Bjune_a203	199	A/I
Bjune_a204	5	R
Bjune_a204	199	A/I
Bjune_a205	5	R
Bjune_a205	199	A/I
Bjune_a206	5	R
Bjune_a206	199	A/I
Bjune_a207	5	R
Bjune_a207	199	A/I
Bjune_a208	5	R
Bjune_a208	199	A/I
Bjune_a209	5	R
Bjune_a209	199	A/I
Bjune_a21	5	R
Bjune_a21	199	A/I
Bjune_a210	5	R
Bjune_a210	199	A/I
Bjune_a211	5	R
Bjune_a211	199	A/I
Bjune_a212	5	R
Bjune_a212	199	A/I
Bjune_a213	5	R
Bjune_a213	199	A/I
Bjune_a214	5	R
Bjune_a214	199	A/I
Bjune_a215	5	R
Bjune_a215	199	A/I
Bjune_a216	5	R
